id	title	datetime	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24	t25	t26	t27	t28	t29	t30	t31	t32	t33	t34	t35	t36	t37	t38	t39	t40	t41	t42	t43	t44	t45	t46	t47	t48	t49
30397	Will Obama Help George W. Bush Achieve His 10-Year Goal for Gasoline Consumption?	5/11/2014 21:28	0.14	0	0	0	0	0	0	0	0	0	0.16	0	0	0.26	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.2	0.06	0	0	0	0.14	0	0
30392	Will <b>Tesla</b> &#39;gigafactory&#39; fight come down to Texas vs. California?	5/11/2014 20:11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285714286	0.071428571	0	0	0	0	0	0.333333333	0	0	0	0.19047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119047619	0	0
30393	Jeep&#39;s Ambitious Plan to Sell Millions of SUVs	5/11/2014 8:22	0	0.056338028	0.042253521	0	0	0	0	0	0	0	0.014084507	0	0	0	0	0.014084507	0	0	0	0	0	0	0	0	0	0	0	0.028169014	0	0	0	0	0.098591549	0	0	0.056338028	0	0.028169014	0.028169014	0	0	0	0.169014085	0.042253521	0.014084507	0	0.042253521	0.366197183	0	0
371	Tesla Doesn?t Expect Model S Delays After Plant Accident	11/14/2013 13:07	0	0	0	0.137931034	0	0.068965517	0.017241379	0.034482759	0	0	0	0.344827586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051724138	0.086206897	0	0	0	0	0	0	0.017241379	0	0	0	0.086206897	0	0	0.051724138	0	0	0.086206897	0	0.017241379	0	0
372	Could This Simple Material Solve All Our Energy Problems?	11/16/2013 8:03	0	0	0	0.272727273	0	0	0	0.060606061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363636364	0	0	0	0	0	0	0	0	0	0	0.151515152	0	0	0	0	0.121212121	0	0.03030303
373	What Challenges Are Arising Against Tesla Motors' Stock?	11/16/2013 8:19	0	0	0	0	0	0	0	0.045454545	0	0	0	0	0	0.068181818	0	0.022727273	0.295454545	0	0	0	0	0	0	0	0	0	0	0	0.045454545	0	0	0	0	0	0	0.136363636	0	0	0	0	0	0	0.045454545	0	0	0	0	0.340909091	0	0
374	Tesla Motors shares hit four-month low	11/18/2013 14:18	0	0	0	0	0	0	0.060606061	0.212121212	0	0	0	0	0	0.03030303	0	0	0	0	0	0	0	0.181818182	0	0.03030303	0	0	0	0	0	0	0	0	0	0	0	0.424242424	0	0	0	0	0	0	0	0	0	0	0	0.060606061	0	0
375	Barron's Story on SolarCity Sparks Congressional Inquiry	11/18/2013 14:07	0.181818182	0.159090909	0	0	0	0	0	0	0	0.340909091	0	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090909091	0	0	0	0.090909091	0	0	0	0	0.045454545	0	0
376	Queasy Rider: Tesla Shares Tank	11/18/2013 14:00	0	0.216216216	0	0	0	0	0	0	0	0	0.054054054	0.324324324	0	0	0	0	0	0	0	0	0	0.297297297	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027027027	0	0	0	0	0	0	0	0	0	0	0.081081081	0	0	0
377	Tesla's Next Stop: Its 200-Day Moving Average?	11/18/2013 14:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3125	0	0.03125	0.15625	0	0	0	0	0	0	0	0.0625	0.40625	0	0
